Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add GitHub user m-schoene,SKARA-1901,5100223,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,mschoene,mschoene,2023-05-05 07:59,2023-05-05 08:05,2023-10-01 09:55,2023-05-05 08:05,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31ehn:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user mpdonova,SKARA-1900,5100222,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,mdonovan,mdonovan,2023-05-05 07:53,2023-05-05 07:57,2023-10-01 09:55,2023-05-05 07:57,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31ehf:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop notifiers when the PR bot fails to retrieve issue temporarily,SKARA-1899,5100144,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-05-04 09:37,2023-05-04 14:16,2023-10-01 09:41,2023-05-04 14:16,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"A user reported that skara bot was editing the links in JDK-8306027 and generated many mail spam.

As Erik said, JDK-8306781is the CSR of JDK-8306027. JDK-8306781 was updated few hours ago and it triggered CSRIssueWorkItem to update the pull request(https://github.com/openjdk/jdk/pull/13661). However, when updating the pr, the bot failed to retrieve JDK-8306027 and printed ""⚠️ Temporary failure when trying to retrieve information on issue 8306027"" in the pr body. This update of PR body triggered PullRequestWorkItem in NotifyBot and make issueNotifier to update links to PR issues.

To resolve this issue, I think we could stop the notifiers when the bot finds temporary issue failure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31e03:",9223372036854775807,,,,,,,,,,,,"2023-05-04 12:36;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1512
Date: 2023-05-04 17:54:15 +0000;;;","2023-05-04 14:16;roboduke;Changeset: 0b67e8fd
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-05-04 21:15:51 +0000
URL:       https://git.openjdk.org/skara/commit/0b67e8fdcb1f8231b18491f8d2581573fa63c792
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user gctony,SKARA-1895,5099684,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,tonyp,tonyp,2023-04-27 07:45,2023-04-27 08:31,2023-10-01 09:55,2023-04-27 08:31,,,,,,,,admin,,0,,,,,,,,,,,,,,"Hi there, can you add my GitHub account, gctony, to the OpenJDK organization. Thank you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31b5v:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user archiecobbs,SKARA-1889,5099271,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,acobbs,acobbs,2023-04-24 07:47,2023-04-24 07:56,2023-10-01 09:55,2023-04-24 07:56,,,,,,,,admin,,0,,,,,,,,,,,,,,"OpenJDK username: acobbs
GitHub username: archiecobbs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i3191n:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate GitHub user viragpurnam with openJDK user vpurnam,SKARA-1887,5099166,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,kcr,vpurnam,vpurnam,2023-04-21 04:20,2023-04-21 05:48,2023-10-01 09:55,2023-04-21 05:37,,,,,,,,admin,,0,,,,,,,,,,,,,,Please add GitHub user viragpurnam and map it to user vpurnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i318eb:",9223372036854775807,,,,,,,,,,,,"2023-04-21 05:48;vpurnam;Is the mapping done? Thanks!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only configure CSRIssueBot for issuetrackers where we have CSR configured,SKARA-1886,5099069,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,zsong,erikj,erikj,2023-04-20 12:33,2023-04-21 09:21,2023-10-01 09:55,2023-04-21 09:21,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"The PullRequestBotFactory currently creates a CSRIssueBot for every IssueTracker configured. This causes unnecessary polling of IssueTrackers where no repositories have been configured with csr true. There could also be IssueTrackers that don't even support the CSR issue type, and those would trigger errors.

The factory needs to only create CSRIssueBot instances for IssueTrackers where it's needed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i317sr:",9223372036854775807,,,,,,,,,,,,"2023-04-20 13:40;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1506
Date: 2023-04-20 20:18:59 +0000;;;","2023-04-21 09:21;roboduke;Changeset: 15fee6fe
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-04-21 16:20:08 +0000
URL:       https://git.openjdk.org/skara/commit/15fee6fe63566d2ee64f38bf21f304bcd461dc4c
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user peter-hofer,SKARA-1882,5098711,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,phofer,phofer,2023-04-18 03:39,2023-04-18 04:01,2023-10-01 09:55,2023-04-18 04:01,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i315l7:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user ahgross-java,SKARA-1880,5098381,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,ahgross,ahgross,2023-04-13 11:17,2023-04-13 12:27,2023-10-01 09:55,2023-04-13 12:27,,,,,,,,admin,,0,,,,,,,,,,,,,,Please add my user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i313k3:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make GitRepository#isEmptyCommit be compatible with old versions of Git,SKARA-1879,5098376,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-04-13 10:29,2023-04-13 13:07,2023-10-01 09:55,2023-04-13 13:07,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"In SKARA-1854, we introduced a method GitRepository#isEmptyCommit. In addition, the git show command includes the option '--diff-merges=dense-combined' in git 2.30.0. However, this option is not available in old versions of git. To ensure compatibility with old versions of Git, we should replace '--diff-merges=dense-combined' with the '--cc' option.

References:
[1]https://git-scm.com/docs/git-show/2.29.0
[2]https://git-scm.com/docs/git-show/2.30.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i313iz:",9223372036854775807,,,,,,,,,,,,"2023-04-13 13:03;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1501
Date: 2023-04-13 17:32:47 +0000;;;","2023-04-13 13:07;roboduke;Changeset: 80b3fc6a
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-04-13 20:05:56 +0000
URL:       https://git.openjdk.org/skara/commit/80b3fc6a6ac1cf1b813d1bcd45ff81447f4f6bdb
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve argument check in SKARA CLI,SKARA-1878,5098311,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-04-12 10:07,2023-04-17 11:28,2023-10-01 09:55,2023-04-17 11:28,,,,,,,1.0,cli,,0,,,,,,,,,,,,,,"Currently, if a user misuses a command, in some cases, our CLI crashes and throws a stack trace, which is bad and does not provide useful information to the user. We need to improve error handling in SKARA CLI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i3134j:",9223372036854775807,,,,,,,,,,,,"2023-04-13 16:39;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1502
Date: 2023-04-13 22:54:06 +0000;;;","2023-04-17 11:28;roboduke;Changeset: e95942fa
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-04-17 18:27:03 +0000
URL:       https://git.openjdk.org/skara/commit/e95942fa0909874462bbccf354533f83d7bc3aa9
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user YaaZ,SKARA-1875,5098017,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,ngubarkov,ngubarkov,2023-04-06 00:13,2023-04-06 04:50,2023-10-01 09:55,2023-04-06 04:50,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i311b7:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user jaskarth,SKARA-1874,5097988,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,jkarthikeyan,jkarthikeyan,2023-04-05 11:09,2023-04-05 11:52,2023-10-01 09:55,2023-04-05 11:52,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i3114r:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Possible notification race with tags,SKARA-1873,5097908,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,zsong,erikj,erikj,2023-04-04 11:31,2023-04-26 08:38,2023-10-01 09:55,2023-04-26 08:38,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"If a new commit is integrated into a repository branch and quickly tagged, the notifier may miss updating the ""Resolved In Build"" field in the issue associated with that commit. This happens if the same RepositoryWorkItem instance handles both the tag and the commit, because it will handle the tag first, before a suitable backport has been created.

This just happened in SKARA-1871 where I resolved it by forcing a re-evaluation of the tag.

I think the order of notifications need to be reordered, but we should probably investigate closer to see if there is a reason for the current ordering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i310mz:",9223372036854775807,,,,,,,,,,,,"2023-04-24 14:48;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1507
Date: 2023-04-24 21:27:47 +0000;;;","2023-04-26 08:38;roboduke;Changeset: e51b2df0
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-04-26 15:37:29 +0000
URL:       https://git.openjdk.org/skara/commit/e51b2df0b42d344b6121316c4ee5fdfdbb325f12
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
