Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Minor cleanup could be done in javax.crypto,JDK-8284112,5071449,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,mpowers,mpowers,mpowers,2022-03-31 14:02,2022-04-20 23:29,2023-10-01 09:56,2022-04-18 16:50,,,,,,,,,,19,security-libs,,0,,,,,,,,,,,,,,,,,,,"JDK-8273046 is the umbrella bug for this bug. The changes were too large for a single code review, so it was decided to split JDK-8273046 into smaller chunks. This is one such chunk for files under open/src/java.base/share/classes/javax/crypto (javax.crypto).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8273046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wjez:",9223372036854775807,b19,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@2ec284e3,,,,,,,,,"2022-03-31 14:22;rhalade;Linking this to JDK-8273046 for tracking. You could also consider to move this as a sub-task of JDK-8273046.;;;","2022-04-12 17:23;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/8214
Date: 2022-04-12 21:59:09 +0000;;;","2022-04-18 16:50;dukebot;Changeset: 41fc0783
Author:    Mark Powers <mark.powers@oracle.com>
Committer: Bradford Wetmore <wetmore@openjdk.org>
Date:      2022-04-18 23:48:22 +0000
URL:       https://git.openjdk.java.net/jdk/commit/41fc07832300d224bb185b88ac4135b7e2b27cff
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
serviceability/jvmti/HeapMonitor/MyPackage/HeapMonitorThreadTest.java and HeapMonitorThreadDisabledTest crash with virtual threads,JDK-8284111,5071447,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,rpressler,rpressler,rpressler,2022-03-31 13:20,2022-04-10 08:50,2023-10-01 09:56,2022-04-10 08:50,repo-loom,,,,,,,,,repo-loom,hotspot,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wjej:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@661b156a,,,,,,,,,"2022-03-31 14:38;dcubed;Moving from hotspot/runtime -> hotspot/jvmti
since that's where the HeapMonitor stuff lives.;;;","2022-04-10 08:50;rpressler;Fixed.

https://git.openjdk.java.net/loom/commit/589141841f6eaa66cd889a4ae5a23cc24d99890f

https://git.openjdk.java.net/loom/commit/28feb8452f72b7b0ca9c33b2ad7d040c5a1686ef;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsVarargsCollector::asCollectorCache incorrectly marked @Stable,JDK-8284103,5071433,Bug,Resolved,JDK,JDK,software,duke,,,P5,Fixed,heidinga,heidinga,heidinga,2022-03-31 08:57,2022-04-06 23:59,2023-10-01 09:56,2022-04-01 05:51,19,,,,,,,,,19,core-libs,,0,,,,,,,,,,,,,,,,,,,"The AsVarargsCollector::asCollectorCache field is marked as `@Stable` but doesn't follow the contract for Stable fields.

The contract for Stable, as described in [1], states:
> A field may be annotated as stable if all of its component variables
> changes value at most once.
...
> Since all fields begin with a default value of null for references
> (resp., zero for primitives), it follows that this annotation indicates
> that the first non-null (resp., non-zero) value stored in the field
> will never be changed.

The AsVarargsCollector::asTypeUncached method updates the `asCollectorCache` field.

This was discovered by the OpenJ9 project while investigating a test issue in the CatchExceptionTest.java [2] test case related to the `getCatcher` method.

[1] https://github.com/openjdk/jdk/blob/master/src/java.base/share/classes/jdk/internal/vm/annotation/Stable.java
[2] https://github.com/openjdk/jdk/blob/master/test/jdk/java/lang/invoke/MethodHandles/CatchExceptionTest.java",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,"0|i2wjbf:",9223372036854775807,b17,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@1cfeb1de,,,,,,,,,"2022-03-31 09:08;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/8062
Date: 2022-03-31 16:03:02 +0000;;;","2022-03-31 14:29;jvernee;ILW = L (regression that is only affecting a corner case) M (when asTypeUncached is compiled, and a different arity new type is requested) L (disabling compilation of asTypeUncached can be used as workaround) = P5

Edit: upon closer inspection, I don't think this can break the specification. `acc` will be seen as constant, which means any updates to the cache will not be visible, and the slower path is taken instead. Downgrading impact to L gives P5;;;","2022-04-01 05:51;dukebot;Changeset: fc7a17c7
Author:    Dan Heidinga <heidinga@openjdk.org>
Committer: Jorn Vernee <jvernee@openjdk.org>
Date:      2022-04-01 12:50:21 +0000
URL:       https://git.openjdk.java.net/jdk/commit/fc7a17c79b825feab56bdb31e086425bf5103cf3
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
[TESTBUG] [11u] Retroactively add regression test for JDK-8272124,JDK-8284102,5071432,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,sgehwolf,sgehwolf,sgehwolf,2022-03-31 08:34,2022-12-19 03:16,2023-10-01 09:56,2022-04-29 09:46,11.0.16,,,,,,,,,11.0.16,core-svc,,0,17-na,18-na,19-na,jdk11u-fix-request,jdk11u-fix-yes,jdk8u-fix-request,jdk8u-fix-yes,noreg-self,,,,,,,,,,,"This is a JDK 11u only bug as JDK-8272124 got backported to 11u, but without the regression test which is in JDK 17.0.2+

Since OpenJDK 11u will get the cgroups v2 patches backported to 11.0.16, we should add the test as relevant infrastructure will be there.

Getting the test added depends on JDK-8239559 and JDK-8254001 to be in 11u as well.",,,,,,,,,,,JDK-8299021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8239559,JDK-8254001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,"0|i2wjb7:",9223372036854775807,b01,,,,,,,,,,,"2022-03-31 08:35;sgehwolf;https://github.com/openjdk/jdk/commit/4d6593ce0243457e7431a5990957a8f880e0a3fb#diff-56714e8f9b126ae2944f6afb93cd9d9a44d499a976c8ea7389e921e645823157 is the hunk to be added with this.;;;","2022-04-14 09:58;sgehwolf;Test correctly fails with this revert:
diff --git a/src/java.base/linux/classes/jdk/internal/platform/CgroupSubsystemFactory.java b/src/java.base/linux/classes/jdk/internal/platform/CgroupSubsystemFactory.java
index 0d8a5d181ac..931d0896079 100644
--- a/src/java.base/linux/classes/jdk/internal/platform/CgroupSubsystemFactory.java
+++ b/src/java.base/linux/classes/jdk/internal/platform/CgroupSubsystemFactory.java
@@ -194,10 +194,9 @@ public class CgroupSubsystemFactory {
             if (isCgroupsV2) {
                 action = (tokens -> setCgroupV2Path(infos, tokens));
             }
-            // The limit value of 3 is because /proc/self/cgroup contains three
-            // colon-separated tokens per line. The last token, cgroup path, might
-            // contain a ':'.
-            selfCgroupLines.map(line -> line.split("":"", 3)).forEach(action);
+            selfCgroupLines.map(line -> line.split("":""))
+                     .filter(tokens -> (tokens.length >= 3))
+                     .forEach(action);
         }

Passes with the fix. Branch:
https://github.com/jerboaa/jdk11u-dev/tree/jdk-8284102-add-reg-test;;;","2022-04-28 02:43;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk11u-dev/pull/1056
Date: 2022-04-28 09:37:44 +0000;;;","2022-04-28 10:35;sgehwolf;Fix Request (OpenJDK 11u):

This adds a regression test for JDK-8272124 backported in 11.0.13, but the test got dropped as required infra wasn't there (at the time). That has changed with the cgroups v2 backports. Should just add stability and will avoid potential regressions in that area. Test only change. Reviewed by Andrew Hughes. Test passes (and fails without the relevant fix). Depends on JDK-8254001 getting approved too, which is part of the cgroups v2 backport effort.;;;","2022-04-28 23:53;goetz;Hi [~sgehwolf], please add [11u] to the bug title. Thanks.;;;","2022-04-29 09:46;dukebot;Changeset: 245e2f2d
Author:    Severin Gehwolf <sgehwolf@openjdk.org>
Date:      2022-04-29 16:44:36 +0000
URL:       https://git.openjdk.java.net/jdk11u-dev/commit/245e2f2da0302c9354255219248c2f6793947a6a
;;;","2022-05-04 01:25;dukebot;Changeset: 245e2f2d
Author:    Severin Gehwolf <sgehwolf@openjdk.org>
Date:      2022-04-29 16:44:36 +0000
URL:       https://git.openjdk.java.net/jdk11u/commit/245e2f2da0302c9354255219248c2f6793947a6a
;;;","2022-11-16 03:15;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk8u-dev/pull/179
Date: 2022-11-16 11:05:10 +0000;;;","2022-12-19 02:01;jdowland;Fix request (8u)

Please consider this for 8u's cgroups v2 support. It's a test-only change. Not clean: needed  Files.writeString→write for jdk8u adjustment. Thanks;;;",,,,,,,,,,,,,,,,,,,,,
Fix broken links in gendocs directory in JDK 8u docs,JDK-8284100,5071430,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,rgallard,rgallard,rgallard,2022-03-31 07:19,2022-04-12 22:48,2023-10-01 09:56,2022-03-31 10:08,8u331,,,,,,,,,8u341,docs,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8282216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wjar:",9223372036854775807,b02,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4eba8c33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory leak in invoker_completeInvokeRequest(),JDK-8284094,5071423,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,rkennke,rkennke,rkennke,2022-03-31 06:09,2022-06-11 10:36,2023-10-01 09:56,2022-04-01 09:30,11,17,18,19,8,,,,,19,core-svc,,0,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,jdk18u-fix-request,jdk18u-fix-SQE-OK,jdk18u-fix-yes,redhat-interest,,,,,,,,,,,"In invoker.c in the function invoker_completeInvokeRequest(), we allocate a PacketOutputStream object called out using         outStream_initReply(), but never reclaim it. We need to call outStream_destroy() before going out of scope.",,,,,,,,,,,JDK-8287532,JDK-8287536,JDK-8287538,JDK-8287588,JDK-8288284,JDK-8288285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generic,,,,,,,,,generic,,,,,"0|i2wj97:",9223372036854775807,b17,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@3397f701,,,,,,,,,"2022-03-31 06:22;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/8059
Date: 2022-03-31 13:18:22 +0000;;;","2022-04-01 09:29;dukebot;Changeset: 1dfa1eae
Author:    Roman Kennke <rkennke@openjdk.org>
Date:      2022-04-01 16:28:26 +0000
URL:       https://git.openjdk.java.net/jdk/commit/1dfa1eaea0c8958f4b793c0766e36607cbde5c7f
;;;","2022-05-23 08:41;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk18u/pull/134
Date: 2022-05-23 15:36:35 +0000;;;","2022-05-29 02:31;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk18u/pull/141
Date: 2022-05-29 09:26:19 +0000;;;","2022-05-29 06:41;andrew;Fix Request [18u]:

PR: https://github.com/openjdk/jdk18u/pull/141

This fixes a memory leak in the JDWP agent. It has baked in trunk for over a month and should now be safe enough to backport to stable releases.;;;","2022-05-29 07:39;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk17u-dev/pull/422
Date: 2022-05-29 14:33:46 +0000;;;","2022-05-29 20:18;andrew;Fix Request [17u]:

PR: https://github.com/openjdk/jdk17u-dev/pull/422

This fixes a memory leak in the JDWP agent. It has baked in trunk for over a month and should now be safe enough to backport to stable releases. Backport is clean and tests pass (bar a couple of unrelated Windows langtools tests that appear to be failing in other PRs as well);;;","2022-05-30 07:36;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk11u-dev/pull/1116
Date: 2022-05-30 14:30:41 +0000;;;","2022-05-30 09:30;andrew;Fix Request [11u]:

PR: https://github.com/openjdk/jdk11u-dev/pull/1116

This fixes a memory leak in the JDWP agent. It has baked in trunk for over a month and should now be safe enough to backport to stable releases. Backport is clean and tests looked to be passing (complete on Linux so far);;;",,,,,,,,,,,,,,,,,,,,,
Memory leak: X11SD_DisposeXImage should also free obdata,JDK-8284093,5071422,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,zgu,zgu,zgu,2022-03-31 06:01,2023-05-17 12:11,2023-10-01 09:56,2022-04-11 06:40,11,17,18,19,8,,,,,19,client-libs,,0,amazon-interest,redhat-interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,"0|i2wj8z:",9223372036854775807,b18,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4b09ce31,,,,,,,,,"2022-03-31 06:35;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/8060
Date: 2022-03-31 13:30:40 +0000;;;","2022-04-11 06:40;dukebot;Changeset: 205cfb84
Author:    Zhengyu Gu <zgu@openjdk.org>
Date:      2022-04-11 13:36:20 +0000
URL:       https://git.openjdk.java.net/jdk/commit/205cfb84968fe93cbfe7d509e1e7d051ed05f97c
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
com/sun/security/auth/module/AllPlatforms.java fails to compile,JDK-8284090,5071417,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,jiefu,jiefu,jiefu,2022-03-31 04:11,2023-09-24 09:41,2023-10-01 09:56,2022-03-31 06:54,19,,,,,,,,,19,security-libs,,0,jdk17u-fix-request,jdk17u-fix-yes,noreg-self,regression,tencent-interest,,,,,,,,,,,,,,"/jdk/test/jdk/com/sun/security/auth/module/AllPlatforms.java:71: error: cannot find symbol
        } catch (FailedLoginException e) {
                 ^
  symbol:   class FailedLoginException
  location: class AllPlatforms
1 error

TEST RESULT: Failed. Compilation failed: Compilation failed",,,,,,,,,,,JDK-8312714,JDK-8316800,JDK-8312336,JDK-8312537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8281717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wj7v:",9223372036854775807,b17,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@2ec284e3,,,,,,,,,"2022-03-31 04:20;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/8057
Date: 2022-03-31 11:15:28 +0000;;;","2022-03-31 06:54;dukebot;Changeset: 77a205aa
Author:    Jie Fu <jiefu@openjdk.org>
Date:      2022-03-31 13:51:12 +0000
URL:       https://git.openjdk.java.net/jdk/commit/77a205aa4cfe4892843f22dce63eb85789b4b321
;;;","2023-07-20 05:31;goetz;Fix request [17u]

I backport this for parity with 17.0.9-oracle.
No risk, only a test change.
Clean backport, included in JDK-8281717.
Test passes. SAP nightly testing passed.;;;","2023-07-20 05:38;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk17u-dev/pull/1606
Date: 2023-07-20 12:28:00 +0000;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Create an automated test for JDK-4170173,JDK-8284077,5071404,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,smandalika,smandalika,smandalika,2022-03-31 02:33,2022-08-03 18:05,2023-10-01 09:56,2022-04-27 11:19,11,17,18,19,8,,,,,19,client-libs,,0,colocation,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,noreg-self,sqebug,testbug,,,,,,,,,,,"Create an automated test for JDK-4170173
Issue
JTextComponent.AccessibleJTextComponent.getAfterIndex(int part, int index) works incorrectly, when 'part' parameter is AccessibleText.WORD.
It returns a space ("" "") instead of the correct word.

The test verifies the fix for this behavior by checking the getAfterIndex for AccessibleText.CHARACTER,AccessibleText.WORD,AccessibleText.SENTENCE for the components JTextField, JTextArea, JEditorPane.

While working on this test case there was a related bug relevant to this JDK-4170174 which marked as duplicate but addresses a simlar but not identical issue.  
The issue described in JDK-4170174 indicates that JTextComponent.AccessibleJTextComponent.getBeforeIndex(int part, int index) works incorrectly, when part parameter is AccessibleText.WORD.
It returns a space ("" "") instead of correct word.

Hence an additional test was added for this, for verifying the behavior of getBeforeIndex.
This test verifies the fix for this behavior by checking the getBeforeIndex for AccessibleText.CHARACTER,AccessibleText.WORD,AccessibleText.SENTENCE for the components JTextField, JTextArea, JEditorPane.


The two tests have multiple distinct assertions. For this reason as well as maintainability of the tests the two were not clubbed into a single test. 
However, as the two tests are still similar in the functional flow of the code and the functionality they are testing as well - hence they have been clubbed into a single review. 
This review is for migrating tests from a closed test suite to open.

Testing:
The test ran successfully on Mach5 with multiple runs (30) on windows-x64, linux-x64 and macos-x64.
",,,,,,,,,,,JDK-8291849,JDK-8289662,JDK-8291837,JDK-8289700,JDK-8289666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wj4z:",9223372036854775807,b21,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4785f47c,,,,,,,,,"2022-04-07 00:50;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/8138
Date: 2022-04-07 07:40:18 +0000;;;","2022-04-27 11:19;dukebot;Changeset: 6db2e16b
Author:    Srinivas Mandalika <smandalika@openjdk.org>
Committer: Phil Race <prr@openjdk.org>
Date:      2022-04-27 18:15:36 +0000
URL:       https://git.openjdk.java.net/jdk/commit/6db2e16b948ccb78839285051e136b8a023b2f7b
;;;","2022-08-02 06:10;goetz;Fix request [11u,17u]

I backport this for parity with 11.0.17,17.0.5-oracle.
No risk, only a test change.
Clean backport.
Test passes.  SAP nightly testing passes.;;;","2022-08-02 06:39;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk17u-dev/pull/621
Date: 2022-08-02 13:15:20 +0000;;;","2022-08-02 06:40;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk11u-dev/pull/1304
Date: 2022-08-02 13:19:35 +0000;;;",,,,,,,,,,,,,,,,,,,,,,,,,
foreign/StdLibTest.java randomly crashes on MacOS/AArch64,JDK-8284072,5071398,Bug,Resolved,JDK,JDK,software,duke,,,P2,Fixed,ngasson,ngasson,ngasson,2022-03-31 01:55,2022-04-01 07:57,2023-10-01 09:56,2022-04-01 07:57,repo-panama,,,,,,,,,repo-panama,tools,,0,aarch64-related,foreign-abi,foreign-preview,,,,,,,,,,,,,,,,"Intermittent SIGBUS with the stack trace below. Looks like it's related to W^X.

Stack: [0x0000000171758000,0x000000017195b000],  sp=0x0000000171957ef0,  free space=2047k
Native frames: (J=compiled Java code, j=interpreted, Vv=VM code, C=native code)
V  [libjvm.dylib+0x984f70]  MarkActivationClosure::do_code_blob(CodeBlob*)+0x3c
V  [libjvm.dylib+0x9bfb60]  JavaThread::nmethods_do(CodeBlobClosure*)+0xac
V  [libjvm.dylib+0x4669a8]  HandshakeState::process_by_self(bool)+0x31c
V  [libjvm.dylib+0x891230]  SafepointMechanism::process(JavaThread*, bool)+0xac
V  [libjvm.dylib+0x9f4df0]  UpcallLinker::on_entry(UpcallStub::FrameData*)+0xe0
v  blob 0x000000010e1ca4a8
C  [libsystem_c.dylib+0x5c284]  _isort+0x88
C  0x176d80010e0ca444
j  java.lang.invoke.LambdaForm$MH+0x0000000800c82000.invoke(Ljava/lang/Object;JJJJJ)V+16 java.base@19-internal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aarch64,,,,,,,,,os_x,,,,,"0|i2wj3n:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@2251e2f8,,,,,,,,,"2022-04-01 02:47;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/panama-foreign/pull/674
Date: 2022-04-01 09:41:10 +0000;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riscv: should call Atomic::release_store in JavaThread::set_thread_state,JDK-8284068,5071394,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,fyang,fyang,fyang,2022-03-31 01:36,2023-07-09 19:10,2023-10-01 09:56,2022-04-01 19:47,19,,,,,,,,,19,hotspot,,0,,,,,,,,,,,,,,,,,,,"For RISCV, we use membars when accessing volatile _thread_state through Atomic::load_acquire in JavaThread::thread_state. 
Accordingly, we should use Atomic::release_store to access volatile _thread_state in JavaThread::set_thread_state for this architecture. 
This is correct for our JDK 11 version: both functions are guarded by a single-line macro check for architecures [1].

The code is refactored in JDK mainline: each function has their own macro check for architectures. 
But looks like we only kept the macro check for RISCV64 in JavaThread::thread_state when porting from JDK 11. 
The same check is missing for JavaThread::set_thread_state. We should add it back.

Simple fix:
diff --git a/src/hotspot/share/runtime/thread.inline.hpp b/src/hotspot/share/runtime/thread.inline.hpp
index 92dfdfa3dbe..ee7d48b8660 100644
--- a/src/hotspot/share/runtime/thread.inline.hpp
+++ b/src/hotspot/share/runtime/thread.inline.hpp
@@ -162,7 +162,7 @@ inline JavaThreadState JavaThread::thread_state() const    {
 inline void JavaThread::set_thread_state(JavaThreadState s) {
   assert(current_or_null() == NULL || current_or_null() == this,
          ""state change should only be called by the current thread"");
-#if defined(PPC64) || defined (AARCH64)
+#if defined(PPC64) || defined (AARCH64) || defined(RISCV64)
   // Use membars when accessing volatile _thread_state. See
   // Threads::create_vm() for size checks.
   Atomic::release_store((volatile jint*)&_thread_state, (jint)s);

[1] https://gitee.com/openeuler/bishengjdk-11/blob/risc-v/src/hotspot/share/runtime/thread.inline.hpp#L123 ",,,,,,,,,,,JDK-8311696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8276799,,,,,,,,,,,,,,,,,,,,riscv,,,,,,,,,linux,,,,,"0|i2wj2r:",9223372036854775807,b17,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@762b8a4b,,,,,,,,,"2022-03-31 02:01;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/8055
Date: 2022-03-31 08:55:47 +0000;;;","2022-04-01 19:47;dukebot;Changeset: e5e1aab4
Author:    Fei Yang <fyang@openjdk.org>
Date:      2022-04-02 02:46:26 +0000
URL:       https://git.openjdk.java.net/jdk/commit/e5e1aab459cf620644e2c8a1056338bb82ce81c3
;;;","2023-06-19 20:39;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk17u-dev/pull/1427
Date: 2023-06-13 09:43:25 +0000;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
