Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Sprint,Sprint,Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Better indicate that a snippet (and other invalid input) could not be processed,JDK-8276964,5062435,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,hannesw,prappo,prappo,2021-11-10 10:02,2022-01-05 08:43,2023-10-01 09:57,2021-12-07 23:09,18,,,,,,,,,,,,,18,tools,,0,release-note=yes,,,,,,,,,,,,,,,,"If a snippet cannot be processed (due to an error), the resulting documentation will contain barely noticeable text, ""bad snippet"", instead of the snippet content. This is unhelpful. We should make failed snippets more noticeable to alert authors who are eyeballing the resulting documentation before publishing it.",,,,,,,,,,JDK-8278704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v0bv:",9223372036854775807,b27,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@7900061a,,,,,,,,,"2021-11-23 00:58;hannesw;I am thinking of using a box with a one pixel border similar to the one used for valid snippets or the preview API notice, but with some red details and light-red background to make it stand out as an error message. 

Ideally, we might want to use an icon such as an exclamation mark to make it stand out even more, but the time till 18 is rather tight and these things usually require some amount of bike-shedding.;;;","2021-12-07 23:09;roboduke;Changeset: b334d968
Author:    Hannes Wallnöfer <hannesw@openjdk.org>
Date:      2021-12-08 07:07:57 +0000
URL:       https://git.openjdk.java.net/jdk/commit/b334d9680b2ee796d5058d68881215bb11499aad
;;;",,,,,,,,,,,,,,,,,,,
Fix broken JDK 8 documentation links,JDK-8276957,5062423,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,bhoran,bhoran,bhoran,2021-11-10 08:18,2022-04-04 11:18,2023-10-01 09:57,2021-11-12 04:55,8,,,,,,,,,,,,,8u331,docs,,0,,,,,,,,,,,,,,,,,"Several of the links in the JDK8 documentation are broken.

Run linklint on the guides and tech notes and fix where necessary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generic,,,,,,,,,,,,,generic,,,,,,"0|i2v097:",9223372036854775807,b01,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4eba8c33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarify how DateTimeFormatterBuilder.appendFraction handles value ranges,JDK-8276947,5062412,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,redestad,redestad,redestad,2021-11-10 05:50,2021-11-17 17:17,2023-10-01 09:57,2021-11-11 12:38,,,,,,,,,,,,,,18,core-libs,,0,,,,,,,,,,,,,,,,,"Improve the specification of DateTimeFormatterBuilder.appendFraction to indicate an exception will be thrown if the value is outside of the allowed range, as suggested by Stephen Colebourne in https://github.com/openjdk/jdk/pull/6188",,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8276948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v06r:",9223372036854775807,b24,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@a9a7756,,,,,,,,,"2021-11-11 12:38;roboduke;Changeset: 0ca0acf6
Author:    Claes Redestad <redestad@openjdk.org>
Date:      2021-11-11 20:36:46 +0000
URL:       https://git.openjdk.java.net/jdk/commit/0ca0acf63cb5cec4c62a9948956a04822d6f74a5
;;;",,,,,,,,,,,,,,,,,,,,
Backout JDK-8274338 11u backport ,JDK-8276943,5062408,Bug,Resolved,JDK,JDK,software,duke,,,P2,Fixed,zgu,zgu,zgu,2021-11-10 05:36,2021-11-11 00:15,2023-10-01 09:57,2021-11-10 08:50,11.0.14,,,,,,,,,,,,,11.0.14,hotspot,,0,jdk11u-fix-request,jdk11u-fix-yes,,,,,,,,,,,,,,,"It caused some of cds tests to fail.


http://mail.openjdk.java.net/pipermail/jdk-updates-dev/2021-November/009840.html <http://mail.openjdk.java.net/pipermail/jdk-updates-dev/2021-November/009840.html>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8274338,,,,,,,,,,,,,,,JDK-8276785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v05v:",9223372036854775807,b02,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@762b8a4b,,,,,,,,,"2021-11-10 06:35;goetz;Fix request 11u

I just labeled it to make sure the process is followed.;;;","2021-11-10 08:50;roboduke;Changeset: c406da13
Author:    Zhengyu Gu <zgu@openjdk.org>
Date:      2021-11-10 16:49:19 +0000
URL:       https://git.openjdk.java.net/jdk11u-dev/commit/c406da13284934c11f04146daa9ebc960d0f5f4f
;;;","2021-11-11 00:10;roboduke;Changeset: c406da13
Author:    Zhengyu Gu <zgu@openjdk.org>
Date:      2021-11-10 16:49:19 +0000
URL:       https://git.openjdk.java.net/jdk11u/commit/c406da13284934c11f04146daa9ebc960d0f5f4f
;;;",,,,,,,,,,,,,,,,,,
Update ProblemList,JDK-8276930,5062395,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,jwilhelm,jwilhelm,jwilhelm,2021-11-10 01:22,2021-11-17 17:16,2023-10-01 09:57,2021-11-10 17:15,18,,,,,,,,,,,,,18,hotspot,,0,noreg-trivial,,,,,,,,,,,,,,,,Update a few entries in the problemlist that refer to bugs that have been closed as duplicates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v02z:",9223372036854775807,b24,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@11336cca,,,,,,,,,"2021-11-10 17:15;roboduke;Changeset: e27a67a9
Author:    Jesper Wilhelmsson <jwilhelm@openjdk.org>
Date:      2021-11-11 01:14:30 +0000
URL:       https://git.openjdk.java.net/jdk/commit/e27a67a91647e584411a9ef57c0a028ab37af19b
;;;",,,,,,,,,,,,,,,,,,,,
Crash on iOS 15.1 in GlassRunnable::dealloc,JDK-8276915,5062366,Bug,Resolved,JDK,JDK,software,duke,,,P2,Fixed,jvos,webbuggrp,webbuggrp,2021-11-09 15:25,2021-11-23 05:06,2023-10-01 09:57,2021-11-11 07:04,jfx18,,,,,,,,,,,,,jfx18,javafx,,0,dcspn,ios,reproducer-other,webbug,,,,,,,,,,,,,"ADDITIONAL SYSTEM INFORMATION :
Using javafx.version 18-ea+6, gluonfx.plugin.version 1.0.9 to build the iOS native image.

A DESCRIPTION OF THE PROBLEM :
Referring to https://bugs.openjdk.java.net/browse/JDK-8275723

I am getting a very similar crash on iOS 15.1, the console output of my iPad is showing following line:
*** Assertion failure in -[GlassRunnable dealloc], GlassApplication.m:268

I see that for MacOS, this has been fixed. Comparing with the source code for iOS at https://github.com/openjdk/jfx/blob/master/modules/javafx.graphics/src/main/native-glass/ios/GlassApplication.m
the iOS dealloc method still looks like the macOS code before the fix. So I suppose with iOS 15.1, the same issue got introduced as it was with macOS 12.
This behaviour has not been seen in previous iOS releases, including iOS 15.0.2.

From the comments in the aforementioned macOS bug report, the discussion mentions a follow-up effort to check other deallocs...this might be one of those to fix.


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8275723,,,,,,,,,,,,,,,,,,aarch64,,,,,,,,,,,,,os_x,,,,,,"0|i2uzwj:",9223372036854775807,,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4143e3f7,,,,,,,,,"2021-11-10 10:12;kcr;Yes, it does look like a similar bug in the iOS-specific glass code.;;;","2021-11-10 12:01;jvos;Thanks for reporting.
The iOS code suffers from the same issue indeed, we will fix it.;;;","2021-11-11 07:04;roboduke;Changeset: d122ed00
Author:    Jose Pereda <jpereda@openjdk.org>
Date:      2021-11-11 15:04:06 +0000
URL:       https://git.openjdk.java.net/jfx/commit/d122ed00557eeeb823a42e0c5503ab55f754e921
;;;",,,,,,,,,,,,,,,,,,
Use appropriate macosx_version_minimum value while compiling metal shaders,JDK-8276905,5062369,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,jdv,vprovodin,vprovodin,2021-11-09 16:37,2021-11-23 13:00,2023-10-01 09:57,2021-11-16 05:20,17,18,,,,,,,,,,,,18,client-libs,,0,jdk17u-fix-request,jdk17u-fix-SQE-ok,jdk17u-fix-yes,lanai,sn_105,sn_106,,,,,,,,,,,"If OpenJDK is built on BigSur with Xcode12.5 then a lot of AWT & Swing tests failed with the following message on machines (e.g. macOS10.15) with Xcode <=12.4 or without Xcode:

#section:main
----------messages:(5/257)----------
command: main -Dsun.java2d.uiScale=1 bug6796710
reason: User specified action: run main/othervm -Dsun.java2d.uiScale=1 bug6796710 
Mode: othervm [/othervm specified]
Additional options from @modules: --add-modules java.desktop
elapsed time (seconds): 0.592
----------configuration:(3/40)----------
Boot Layer
  add modules: java.desktop

----------System.out:(0/0)----------
----------System.err:(1/307)----------
2021-10-25 05:36:42.170 java[6916:107817] Failed to create pipeline state, error Error Domain=CompilerError Code=1 ""Function frag_col has a deployment target which is incompatible with this OS."" UserInfo={NSLocalizedDescription=Function frag_col has a deployment target which is incompatible with this OS.}

The issue was observed in Metal configurations, the tests passed well in OGL configurations

Steps to reproduce
$ jtreg -testjdk:$JDK_HOME -javaoptions:'-Dsun.java2d.metal=true' test/jdk:jdk_awt test/jdk:jdk_swing

The tests pass successfully in case -Dsun.java2d.metal=false

Note: adding --with-macosx-version-max=10.12.00 to configure does not resolve the issue.",,,,,,,,,,JDK-8277696,JDK-8277480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8277125,,,,,,,,,,,,,,,,,,generic,,,,,,,,,,,,,os_x,,,,,,"0|i2uzx7:",9223372036854775807,b24,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4b09ce31,,,,,,,,,"2021-11-10 02:52;jdv;It looks similar to https://developer.apple.com/forums/thread/105719 . We might need to explicitly specify minimum deployment target while generating .air using xcrun.;;;","2021-11-16 05:20;roboduke;Changeset: 9a9a157a
Author:    Jayathirth D V <jdv@openjdk.org>
Date:      2021-11-16 13:18:56 +0000
URL:       https://git.openjdk.java.net/jdk/commit/9a9a157a7d45cbfb016d4427931e1d5345210f7a
;;;","2021-11-16 08:36;jdv;Fix Request (17u)

Clean backport to 17u.
Metal pipeline was introduced in JDK17 and this fix resolves deployment target issue and needed in JDK17. Also Metal pipeline is off by default in JDK 17 so this change is low risk.

JDK 17u PR : https://github.com/openjdk/jdk17u/pull/273;;;",,,,,,,,,,,,,,,,,,
Optional.toString() is unnecessarily expensive,JDK-8276904,5062367,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,emcmanus,emcmanus,emcmanus,2021-11-09 16:01,2022-10-06 15:08,2023-10-01 09:57,2021-12-08 13:25,,,,,,,,,,,,,,18,core-libs,,0,amazon-interest,jdk17u-fix-request,jdk17u-fix-yes,noreg-trivial,,,,,,,,,,,,,"This is Optional.toString() https://github.com/openjdk/jdk/blob/0699220830a457959b784b35af125b70f43fa3b0/src/java.base/share/classes/java/util/Optional.java#L454

    /**
     * Returns a non-empty string representation of this {@code Optional}
     * suitable for debugging.  The exact presentation format is unspecified and
     * may vary between implementations and versions.
     *
     * @implSpec
     * If a value is present the result must include its string representation
     * in the result.  Empty and present {@code Optional}s must be unambiguously
     * differentiable.
     *
     * @return the string representation of this instance
     */
    @Override
    public String toString() {
        return value != null
            ? String.format(""Optional[%s]"", value)
            : ""Optional.empty"";
    }

String.format is surprisingly expensive, and we are seeing Optional.toString() showing up as a measurable fraction of CPU time in Google's servers. This code could just as easily use string concatenation, which would certainly be cheaper.

Similar remarks apply to the other Optional* classes like OptionalInt, though they are used much less.",,,,,,,,,,JDK-8278727,JDK-8294925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8275190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2uzwr:",9223372036854775807,b28,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@38ded199,,,,,,,,,"2021-12-08 13:25;roboduke;Changeset: fe2ae8e3
Author:    Eamonn McManus <emcmanus@openjdk.org>
Date:      2021-12-08 21:24:43 +0000
URL:       https://git.openjdk.java.net/jdk/commit/fe2ae8e38bd8660cc637f13f425ccea17a11aa4f
;;;","2022-09-30 13:49;dlutker;Fix request (17u)
Trivial performance improvement, clean backport, was tested as part of https://bugs.openjdk.org/browse/JDK-8275190;;;","2022-09-30 13:50;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk17u-dev/pull/763
Date: 2022-09-30 20:43:44 +0000;;;","2022-10-06 14:59;phh;Changed ""jdk17u-fix-yew"" label to ""jdk17u-fix-yes"".
;;;",,,,,,,,,,,,,,,,,
Remove java/lang/RuntimeTests/exec/ExecWithDir as unnecessary,JDK-8276880,5062296,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,rriggs,rriggs,rriggs,2021-11-09 07:53,2023-05-09 23:23,2023-10-01 09:57,2021-11-09 12:45,,,,,,,,,,,,,,18,core-libs,,0,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,noreg-self,,,,,,,,,,,,"The java/lang/RuntimeTests/exec/ExecWithDir test forks 500 subprocesses hoping to trigger an intermittent problem fixed in 2002.

The test can be removed, it does not exercise the condition it was created for.",,,,,,,,,,JDK-8284438,JDK-8284523,JDK-8289513,JDK-8307797,JDK-8289578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-4750978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,"0|i2uzgz:",9223372036854775807,b23,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4c088d55,,,,,,,,,"2021-11-09 07:55;rriggs;The origin of the test in 2002.  JDK-4750978;;;","2021-11-09 12:45;roboduke;Changeset: d7012fbd
Author:    Roger Riggs <rriggs@openjdk.org>
Date:      2021-11-09 20:43:51 +0000
URL:       https://git.openjdk.java.net/jdk/commit/d7012fbd604fc1a54a2d7364a6ca4a32f47ffc7c
;;;","2022-04-06 03:27;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk17u-dev/pull/337
Date: 2022-04-06 10:21:38 +0000;;;","2022-04-06 03:28;mdoerr;Fix Request (17u):
Should get backported for parity with 17.0.4-oracle. It's not recognized as clean backport, but a trivial change (file removal).;;;","2023-05-08 05:51;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk11u-dev/pull/1866
Date: 2023-05-08 12:43:40 +0000;;;","2023-05-09 02:21;clanger;Fix Request (11u):
Should get backported for parity with Oracle. Test removal only, no risk. Original change had to be adapted because removed file is in a different location in 11u.;;;",,,,,,,,,,,,,,,
Remove test/jdk/sun/security/ec/ECDSAJavaVerify.java,JDK-8276863,5062277,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,weijun,weijun,weijun,2021-11-09 06:21,2022-04-11 00:41,2023-10-01 09:57,2021-11-09 06:48,,,,,,,,,,,,,,18,security-libs,,0,jdk17u-fix-request,jdk17u-fix-yes,noreg-cleanup,noreg-self,ursqe-triaged,,,,,,,,,,,,The test was added in JDK-8237218 to confirm that Java impl is used when verifying a signature. It is useless now since the native implementation is completely removed.,,,,,,,,,,JDK-8280231,JDK-8284652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8235710,JDK-8237218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2uzcr:",9223372036854775807,b23,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@2ec284e3,,,,,,,,,"2021-11-09 06:48;roboduke;Changeset: c27afb31
Author:    Weijun Wang <weijun@openjdk.org>
Date:      2021-11-09 14:46:32 +0000
URL:       https://git.openjdk.java.net/jdk/commit/c27afb313b77d19e7ace7101c6f21aa5b2c56505
;;;","2022-04-08 10:50;goetz;Fix request [17u]

I backport this for parity with 17.0.3-oracle.
No risk, only a test change.
Clean backport.;;;","2022-04-08 11:12;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk17u-dev/pull/343
Date: 2022-04-08 18:07:12 +0000;;;",,,,,,,,,,,,,,,,,,
Windows GHA builds fail due to broken Cygwin,JDK-8276854,5062268,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,asarkar,shade,shade,2021-11-09 05:20,2022-05-26 09:03,2023-10-01 09:57,2021-11-09 21:53,11,17,18,,,,,,,,,,,18,infrastructure,,0,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-SQE-ok,jdk17u-fix-yes,,,,,,,,,,,,"This is seen in GHA Windows builds:

Building configuration 'windows-x64' (matching CONF_NAME=windows-x64)
Building configuration 'windows-x64' (matching CONF_NAME=windows-x64)
Building target 'default (product-bundles test-bundles)' in configuration 'windows-x64'
Compiling 8 files for BUILD_TOOLS_LANGTOOLS
Compiling 1 files for BUILD_TOOLS_HOTSPOT
Compiling 12 properties into resource bundles for jdk.jdeps
/usr/bin/bash: line 1:   950 Segmentation fault      (core dumped) /usr/bin/make -s -r -R -I /cygdrive/d/a/jdk/jdk/jdk/make/common SPEC=/cygdrive/d/a/jdk/jdk/jdk/build/windows-x64/spec.gmk MAKE_LOG_FLAGS=""-s"" -f ModuleWrapper.gmk -I /cygdrive/d/a/jdk/jdk/jdk/make/common/modules -I/cygdrive/d/a/jdk/jdk/jdk/make/modules/java.base MODULE=java.base MAKEFILE_PREFIX=Copy
make[2]: *** [make/Main.gmk:157: java.base-copy] Error 139
make[2]: *** Waiting for unfinished jobs....

I am able to reproduce it in my local Windows VM, so this must be something in OpenJDK/Cygwin, rather than in GH infrastructure.

At this point I believe the recent Cygwin is broken. My machines have recently updated and started to fail. I downgraded ""cygwin"" and ""cygwin-devel"" packages, and the build works again. The last version that works is apparently 3.2.0. The first version that is broken is apparently 3.3.0. GHA always checks out the most recent Cygwin, which currently pulls {cygwin,cygwin-devel}:3.3.2.

The hypothesis that Cygwin is broken is also corroborated by sightings of the same failure in 17u and 11u forests, which do not have a lot of changes backported from mainline:
  https://github.com/shipilev/jdk17u/runs/4137529809?check_suite_focus=true
  https://github.com/shipilev/jdk11u-dev/runs/4136989053?check_suite_focus=true

Unfortunately, Cygwin setup does not allow (?) specifying package versions, which means it is hard to workaround.",,,,,,,,,,JDK-8277214,JDK-8277296,JDK-8276984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8287378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2uzar:",9223372036854775807,b23,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@429c566,,,,,,,,,"2021-11-09 11:48;asarkar;[shipilev] 

Cygwin allows specifying package versions. Once Windows GHA build in my fork is completed, I will create the pull request.

https://github.com/AnirvanSarkar/jdk/commit/55d5ea4975e6192df0bd91fa7a1b670625a6bfa2
https://github.com/AnirvanSarkar/jdk/actions/runs/1441041186;;;","2021-11-09 21:53;roboduke;Changeset: 403f3185
Author:    Anirvan Sarkar <asarkar@openjdk.org>
Committer: Christoph Langer <clanger@openjdk.org>
Date:      2021-11-10 05:51:39 +0000
URL:       https://git.openjdk.java.net/jdk/commit/403f3185f0988dcf6ef4e857d6659533bfa2943f
;;;","2021-11-10 01:33;shade;Blocked by JDK-8268860 for 17u backport.;;;","2021-11-10 03:20;shade;Fix Request (11u)

Works around the bug in Windows GHA testing. Does not apply cleanly, because Windows AArch64 hunks are missing in 11u. Passes GHA. Acked by aph.;;;","2021-11-10 04:13;ihse;[~asarkar] I was not aware that cygwin allowed that! That's great news. We should in fact specify versions for all our cygwin packages, to avoid future surprises with unplanned externally driven upgrades.;;;","2021-11-10 22:50;clanger;[~shade] this needs to go in jdk17u as well. I guess that you're waiting with the backport because you want JDK-8268860 to go in first as a prerequiste, as per https://github.com/openjdk/jdk17u/pull/243. This makes perfect sense. Assuming that you'll take care of the 17u backport after that, I'm approving this one now for 11u to get rid of the GHA errors.;;;","2021-11-15 08:49;shade;Reported the bug to Cygwin, see links.;;;","2021-11-16 00:18;shade;Fix Request (17u)

Works around the bug in Windows GHA testing. Applies cleanly. ;;;",,,,,,,,,,,,,
sun.net.httpserver.simpleserver.CommandLinePositiveTest: test does not specify port,JDK-8276848,5062261,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,jboes,jboes,jboes,2021-11-09 03:06,2021-11-17 17:17,2023-10-01 09:57,2021-11-12 04:06,18,,,,,,,,,,,,,18,core-libs,,0,noreg-self,,,,,,,,,,,,,,,,The testBindAllInterfaces method of CommandLinePositiveTest should specify the port. An additional manual test should be added to cover the case where the port is not specified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2uz97:",9223372036854775807,b24,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@446e124a,,,,,,,,,"2021-11-12 04:06;roboduke;Changeset: 13deb384
Author:    Julia Boes <jboes@openjdk.org>
Date:      2021-11-12 12:05:45 +0000
URL:       https://git.openjdk.java.net/jdk/commit/13deb38433444a196af5e22e9b29bea6a9a15400
;;;",,,,,,,,,,,,,,,,,,,,
JSException: ReferenceError: Can't find variable: IntersectionObserver,JDK-8276847,5062260,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,jpereda,jpereda,jpereda,2021-11-09 02:35,2022-01-11 09:52,2023-10-01 09:57,2021-11-30 07:14,8,jfx11,jfx18,,,,,,,,,,,jfx18,javafx,,0,,,,,,,,,,,,,,,,,"If a web page uses the Intersection Observer web API, when loading it from the JavaFX WebView the page load but such functionality doesn't work. As expected, it works when opening the page from Safari, Chrome and other browsers.

Also, trying to run a script that invokes such functionality, like the one in the attached sample, fails with:

Exception in thread ""JavaFX Application Thread"" netscape.javascript.JSException: ReferenceError: Can't find variable: IntersectionObserver
        at javafx.web@18-ea/com.sun.webkit.dom.JSObject.fwkMakeException(JSObject.java:160)
        at javafx.web@18-ea/com.sun.webkit.WebPage.twkExecuteScript(Native Method)
        at javafx.web@18-ea/com.sun.webkit.WebPage.executeScript(WebPage.java:1562)
        at javafx.web@18-ea/javafx.scene.web.WebEngine.executeScript(WebEngine.java:985)
        at WebTestApp.lambda$start$0(WebTestApp.java:19)
 
This can be reproduced with any JavaFX version (11 to head).

In WebKit, the Intersection Observer feature is marked as experimental and not enabled for WebKitLegacy: 

https://github.com/openjdk/jfx/blob/master/modules/javafx.web/src/main/native/Source/WTF/Scripts/Preferences/WebPreferencesExperimental.yaml#L434

with a comment that says:

# FIXME: This is on by default in WebKit2. Perhaps we should consider turning it on for WebKitLegacy as well.

In fact, enabling such feature works, so maybe what could be already done? 
",,,,,,,,,,JDK-8278331,JDK-8278000,JDK-8278335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8236989,JDK-8273558,,,,,,,,,,,,,,,,,,,,,JDK-8273558,,,,,,,,,,"2021-11-09 02:36;jpereda;WebTestApp.java;https://bugs.openjdk.org/secure/attachment/97009/WebTestApp.java","2021-11-09 02:27;jpereda;index.html;https://bugs.openjdk.org/secure/attachment/97008/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2uz8z:",9223372036854775807,,,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@5a8b92bd,,,,,,,,,"2021-11-30 07:14;roboduke;Changeset: b257647e
Author:    Jose Pereda <jpereda@openjdk.org>
Date:      2021-11-30 15:13:00 +0000
URL:       https://git.openjdk.java.net/jfx/commit/b257647eb6011782b414e17c33a024ab95af7263
;;;",,,,,,,,,,,,,,,,,,,,
