Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Escape user handles in bug titles in pr body,SKARA-2000,5108584,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,erikj,erikj,2023-08-22 05:47,2023-08-23 08:37,2023-10-01 09:55,2023-08-23 08:37,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"Similar to SKARA-1807, we should also escape '@' characters in issue titles as those could otherwise be interpreted as GitHub usernames and tag those users. Note that this applies to the PR body, not the title.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32tsj:",9223372036854775807,,,,,,,,,,,,"2023-08-22 14:17;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1548
Date: 2023-08-22 21:14:48 +0000;;;","2023-08-23 08:37;roboduke;Changeset: 5eb862ef
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-23 15:36:55 +0000
URL:       https://git.openjdk.org/skara/commit/5eb862ef7c1d7913208d34e7a8d202f225d88120
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Only post ApprovalNeededComment after pr is otherwise ready for integration,SKARA-1999,5108490,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-08-21 11:37,2023-08-22 09:09,2023-10-01 09:55,2023-08-22 09:09,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"In SKARA-1199, I made a bug about posting approvalNeededComment.

Before the bot posting ApprovalNeededComment, we need to make sure this pr could pass all the checks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32t7n:",9223372036854775807,,,,,,,,,,,,"2023-08-21 12:54;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1546
Date: 2023-08-21 19:49:51 +0000;;;","2023-08-22 09:09;roboduke;Changeset: c31c8b4d
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-22 16:08:44 +0000
URL:       https://git.openjdk.org/skara/commit/c31c8b4dd7ac2debe1ee09bd042ad66c41ebf874
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
The logic for getting repository name and branch name in the backport pr command is inconsistent,SKARA-1995,5108257,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-08-16 13:29,2023-08-17 09:54,2023-10-01 09:55,2023-08-17 09:54,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"In the backport pull request command, the process of getting the repository name and branch name differs between cancelling a backport request and creating a backport request.

The solution is to make it consistent.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32rrv:",9223372036854775807,,,,,,,,,,,,"2023-08-16 14:04;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1545
Date: 2023-08-16 20:32:34 +0000;;;","2023-08-17 09:54;roboduke;Changeset: 924a0a0e
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-17 16:54:13 +0000
URL:       https://git.openjdk.org/skara/commit/924a0a0e5ba2ac1c390a20a6355ce9f6157784d5
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Reply from /reviewer credit can be clearer,SKARA-1994,5108032,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,erikj,erikj,2023-08-15 06:26,2023-08-23 08:37,2023-10-01 09:55,2023-08-23 08:37,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"If a PR author uses the /reviewer credit command to add a reviewer who has already performed an actual review of a PR, the error message is:

""Reviewer <user> has already made an authenticated review of this PR, and does not need to be credited manually.""

This makes sense if the review was an approval, but if it was just a comment or a rejection, we should change the wording to something like:

""Reviewer <user> has already made an authenticated review of this PR, but did not approve it. Manually crediting them is not allowed.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32qdv:",9223372036854775807,,,,,,,,,,,,"2023-08-22 10:49;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1547
Date: 2023-08-22 17:38:30 +0000;;;","2023-08-23 08:37;roboduke;Changeset: 30fda5b3
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-23 15:36:15 +0000
URL:       https://git.openjdk.org/skara/commit/30fda5b389426b6bb17160e83f9873e29514e9ff
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Fix MailingListNotifierTests#testMailingListBranch,SKARA-1990,5107894,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-08-11 10:58,2023-08-14 10:17,2023-10-01 09:55,2023-08-14 10:17,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"In SKARA-1979, when generating a notification email for the first branch of a repository, all refs except pr/X branches are regarded as potential candidates.

Therefore, this test sometimes fails because the master branch and testlock branch are identical, and it's uncertain which one will be selected as the base for the new branch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32pj7:",9223372036854775807,,,,,,,,,,,,"2023-08-11 11:24;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1543
Date: 2023-08-11 18:01:07 +0000;;;","2023-08-14 10:17;roboduke;Changeset: 5ebf0975
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-14 17:17:26 +0000
URL:       https://git.openjdk.org/skara/commit/5ebf09753830b5fddae61f94b1b6e2a99a2b51eb
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Format error of Issues in pull Request body,SKARA-1985,5107275,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-08-02 16:42,2023-08-02 17:26,2023-10-01 09:55,2023-08-02 17:26,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,We need to add some line break in pull request body.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023-08-02 16:44;zsong;Screenshot 2023-08-02 at 16.43.54.png;https://bugs.openjdk.org/secure/attachment/104959/Screenshot+2023-08-02+at+16.43.54.png",,,,,,,,,,,,,,,,,,,,,,"0|i32lpn:",9223372036854775807,,,,,,,,,,,,"2023-08-02 16:47;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1542
Date: 2023-08-02 23:44:42 +0000;;;","2023-08-02 17:26;roboduke;Changeset: bc424dbc
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-03 00:25:43 +0000
URL:       https://git.openjdk.org/skara/commit/bc424dbcd455b0d9eaa3c3bc2ebd7f552851a986
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
SKARA bot couldn't handle jep command if the jep doesn't have JEP Number,SKARA-1984,5107269,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-08-02 13:41,2023-08-02 15:33,2023-10-01 09:55,2023-08-02 15:33,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"A user issued command /jep JDK-8310626 in https://github.com/openjdk/jdk/pull/15103 and skara bot kept throwing exceptions because the JEP doesn't have a JEP number.

[~kcr] suggested that it makes more sense to make skara bot be able to associate a PR with a JEP before it is a Candidate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32lob:",9223372036854775807,,,,,,,,,,,,"2023-08-02 14:52;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1541
Date: 2023-08-02 21:27:13 +0000;;;","2023-08-02 15:33;roboduke;Changeset: 57610580
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-02 22:32:35 +0000
URL:       https://git.openjdk.org/skara/commit/576105808ccf1b000906a026d0a1148121db02b4
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
JMC should fail properly when executed with <17 JDK,JMC-8121,5111399,Bug,Resolved,JMC,Java Mission Control,software,hirt,The production time profiling and diagnostics tools-suite for the HotSpot JDK.,,P4,Fixed,ssatish,jbechberger,jbechberger,2023-09-28 04:56,2023-09-28 08:06,2023-10-01 09:55,2023-09-28 08:02,,,,,,,,9.0.0,docs,,0,sap-interest,,,,,,,,,,,,,,,,,,,"The ""jmc.product"" file currently doesn't state the minimally required JDK version to run via the osgi.requiredJavaVersion property. This leads to hard to comprehend error message when starting JMC with Java 8: Just a popup that tells us that some error occurred and the name of the log file, yet even the log file doesn't state the error clearly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i33b5v:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@2bd35217,,,,,,,,,"2023-09-28 05:17;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jmc/pull/516
Date: 2023-09-28 12:06:32 +0000;;;","2023-09-28 08:02;roboduke;Changeset: ed9c2456
Author:    Johannes Bechberger <jbechberger@openjdk.org>
Committer: Alex Macdonald <aptmac@openjdk.org>
Date:      2023-09-28 15:01:16 +0000
URL:       https://git.openjdk.org/jmc/commit/ed9c2456f7c19750191fe06560afee4af84c00b5
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
mvn clean install on JMC Core fails if path contains space,JMC-8117,5108309,Bug,Resolved,JMC,Java Mission Control,software,hirt,The production time profiling and diagnostics tools-suite for the HotSpot JDK.,,P3,Fixed,vpurnam,vpurnam,vpurnam,2023-08-17 08:56,2023-08-20 18:19,2023-10-01 09:55,2023-08-17 22:31,,,,,,,,9.0.0,Mission Control Core,,0,,,,,,,,,,,,,,,,,,,,mvn clean install on JMC Core fails if path contains space.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023-08-17 09:07;vpurnam;JMC-8117.png;https://bugs.openjdk.org/secure/attachment/105150/JMC-8117.png",,,,,,,,,,,,,,,,,,,,,,"0|i32s3f:",9223372036854775807,,,,,,,,,,,,"2023-08-17 10:03;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jmc/pull/512
Date: 2023-08-17 16:56:44 +0000;;;","2023-08-17 22:31;roboduke;Changeset: 6003efc5
Author:    Virag Purnam <vpurnam@openjdk.org>
Date:      2023-08-18 05:30:10 +0000
URL:       https://git.openjdk.org/jmc/commit/6003efc56f0b43bf2a2392d800394438c8e0a967
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
JavaFX Developer build broken on Windows - NativeLibrary file contains invalid character ':',JDK-8317308,5111481,Bug,Resolved,JDK,JDK,software,duke,,,P2,Fixed,fkirmaier,fkirmaier,fkirmaier,2023-09-29 03:30,2023-09-30 05:54,2023-10-01 09:55,2023-09-29 06:36,jfx21,,,,,,,jfx22,javafx,,0,noreg-build,regression,regression_8264449,,,,,,,,,,,,,,,,,"The format of the timestamp has changed to ISO 8601. This contains the “:” Character.
A copy of the dll is saved at <home>/.openjfx/cache/"" + jfxVersion + ""/"" + arch .
On Windows, the character ‘:’ is invalid in files, causing internal errors.

This only happens on developer/non-hudson builds, because on hudson-builds, the timestamp is omitted.

This bug was introduced in jfx21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8264449,,,,,,,,,,,,,,,,,,jfx21,,,,,,,"0|i33bo3:",9223372036854775807,master,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@1556b386,,,,,,,,,"2023-09-29 03:47;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jfx/pull/1251
Date: 2023-09-29 10:40:52 +0000;;;","2023-09-29 05:21;kcr;I had to do something similar in our CI build scripts (which are outside the jfx repo).;;;","2023-09-29 05:27;kcr;[~fkirmaier] After this is integrated into main line, I think this would be a good candidate to be backported to jfx21u so that developer builds of 21.0.x will also not run into this problem. If you want to make the request, I'll approve it.;;;","2023-09-29 06:36;dukebot;Changeset: 25862787
Author:    Florian Kirmaier <fkirmaier@openjdk.org>
Committer: Kevin Rushforth <kcr@openjdk.org>
Date:      2023-09-29 13:32:53 +0000
URL:       https://git.openjdk.org/jfx/commit/25862787d2e1b6c4da17089a1d5695c4e4b9fd6e
;;;","2023-09-29 10:24;kcr;[~fkirmaier] After further discussion, let's not consider this fix for a backport. As mentioned in this PR comment:

https://github.com/openjdk/jfx/pull/1251#issuecomment-1741236596

[~jgneff] will propose a fix for the root cause. That fix needs to be backported anyway, and once done, this fix becomes unnecessary. This fix can stay in mainline (since it is not harmful), but there will then be no need to backport it.
;;;",,,,,,,,,,,,,,,,,,,,,,
jpackage tests run osx-specific checks on windows and linux,JDK-8317283,5111450,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,asemenyuk,asemenyuk,asemenyuk,2023-09-28 14:33,2023-09-29 08:37,2023-10-01 09:55,2023-09-29 07:56,20,,,,,,,22,tools,,0,sn_153,,,,,,,,,,,,,,,,,,,"In all app image packaging tests output of on all platforms:
---
[17:31:52.845] TRACE: assertTrue(): Unexptected value in app image file for <signed>
[17:31:52.860] TRACE: assertTrue(): Unexptected value in app image file for <app-store>
---

These checks were introduced in JDK-8293462. Commit - https://github.com/openjdk/jdk/commit/1e222bccd3807c1be0d1d824e0ff9745751d8375#diff-1c3ecd7a8a4a4125f52b6f7a7d4f83a050b5f3603d074151ab946f877e6c6d9fR845

The checks are harmless but should be executed only on osx.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8293462,,,,,,,,,,,,,,,generic,,,,,,,,,generic,,,,,"0|i33bh7:",9223372036854775807,master,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@3656b41f,,,,,,,,,"2023-09-28 17:17;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/15975
Date: 2023-09-28 23:38:51 +0000;;;","2023-09-29 07:56;dukebot;Changeset: 179792be
Author:    Alexey Semenyuk <asemenyuk@openjdk.org>
Date:      2023-09-29 14:53:42 +0000
URL:       https://git.openjdk.org/jdk/commit/179792beb4e766756971fc3c80a79046b34893f4
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Pattern.Bound has `static` fields that should be `static final`.,JDK-8317264,5111426,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,emcmanus,emcmanus,emcmanus,2023-09-28 10:27,2023-09-29 00:53,2023-10-01 09:55,2023-09-28 16:03,17,21,22,,,,,22,core-libs,,0,amazon-interest,,,,,,,,,,,,,,,,,,,"    static final class Bound extends Node {
        static int LEFT = 0x1;
        static int RIGHT= 0x2;
        static int BOTH = 0x3;
        static int NONE = 0x4;

The fields are never reassigned and the lack of `final` seems to be an oversight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generic,,,,,,,,,generic,,,,,"0|i33bbv:",9223372036854775807,master,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@557d5cff,,,,,,,,,"2023-09-28 10:53;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/15967
Date: 2023-09-28 17:20:47 +0000;;;","2023-09-28 16:03;dukebot;Changeset: ecb5e8a0
Author:    Eamonn McManus <emcmanus@openjdk.org>
Date:      2023-09-28 23:01:18 +0000
URL:       https://git.openjdk.org/jdk/commit/ecb5e8a03f67c92d7956201de1fa7d07cc6af9cb
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
RISC-V: llvm build broken,JDK-8317257,5111417,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,vkempik,vkempik,vkempik,2023-09-28 08:32,2023-09-29 00:09,2023-10-01 09:55,2023-09-28 22:17,22,,,,,,,22,hotspot,,0,oraclejdk-na,oracle-triage-22,,,,,,,,,,,,,,,,,,"using clang16 and performing build on the risc-v board getting next error:

/home/user/openjdk/jdk/src/hotspot/cpu/riscv/c1_LIRAssembler_riscv.cpp:1518:10: error: call to member function 'null_check' is ambiguous
      __ null_check(obj);
      ~~~^~~~~~~~~~
/home/user/openjdk/jdk/src/hotspot/cpu/riscv/macroAssembler_riscv.hpp:238:16: note: candidate function
  virtual void null_check(Register reg, int offset = -1);
               ^
/home/user/openjdk/jdk/src/hotspot/cpu/riscv/c1_MacroAssembler_riscv.hpp:109:8: note: candidate function
  void null_check(Register r, Label *Lnull = nullptr) { MacroAssembler::null_check(r); }
       ^
1 error generated.


fast fix was to change caller site to  __ null_check(obj, nullptr);",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8278479,,,,,,,,,,,riscv,,,,,,,,,linux,,,,,"0|i33b9v:",9223372036854775807,master,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6a4709f4,,,,,,,,,"2023-09-28 08:51;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/15965
Date: 2023-09-28 15:37:54 +0000;;;","2023-09-28 22:17;dukebot;Changeset: bd7bb67d
Author:    Vladimir Kempik <vkempik@openjdk.org>
Date:      2023-09-29 05:15:23 +0000
URL:       https://git.openjdk.org/jdk/commit/bd7bb67d8f2a6a6bda43b6e2443099574151a7dc
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Redundant entries in Windows `tzmappings` file,JDK-8317126,5111278,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,naoto,naoto,naoto,2023-09-27 16:17,2023-09-29 09:54,2023-10-01 09:55,2023-09-29 09:39,,,,,,,,22,core-libs,,0,noreg-cleanup,,,,,,,,,,,,,,,,,,,"Windows JDK has `lib/tzmappings` file that maps Windows time zones and Java's time zones. There are redundant entries, e.g., 
```
Mountain Standard Time (Mexico):MX:America/Mazatlan:
Mountain Standard Time (Mexico):001:America/Mazatlan: 
```
The latter line should cover all regions including `MX`, so the former line should be removed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generic,,,,,,,,,windows,,,,,"0|i33aez:",9223372036854775807,master,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@7644fb4c,,,,,,,,,"2023-09-28 10:53;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/15968
Date: 2023-09-28 17:37:00 +0000;;;","2023-09-29 09:39;dukebot;Changeset: 014c95a5
Author:    Naoto Sato <naoto@openjdk.org>
Date:      2023-09-29 16:36:29 +0000
URL:       https://git.openjdk.org/jdk/commit/014c95a54d6cebe8f2b6422c2a484d538cdb2261
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Remove unused imports in the java.util.stream package,JDK-8317119,5111269,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,mabbay,mabbay,mabbay,2023-09-27 10:42,2023-09-28 15:10,2023-10-01 09:55,2023-09-28 15:10,,,,,,,,22,core-libs,,0,,,,,,,,,,,,,,,,,,,,"There are unused imports in the java.util.stream package, it can be removed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i33acz:",9223372036854775807,master,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@c356540,,,,,,,,,"2023-09-27 10:55;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/15949
Date: 2023-09-27 17:45:58 +0000;;;","2023-09-28 15:10;dukebot;Changeset: f2c221de
Author:    Mourad Abbay <mourad.abbay@oracle.com>
Committer: Paul Sandoz <psandoz@openjdk.org>
Date:      2023-09-28 22:07:12 +0000
URL:       https://git.openjdk.org/jdk/commit/f2c221def1071e3200e502d0c40ace73a1d1967a
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Remove redundant type arguments in the java.util.stream package,JDK-8316998,5111138,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,mabbay,mabbay,mabbay,2023-09-26 17:39,2023-09-29 09:21,2023-10-01 09:55,2023-09-29 08:37,,,,,,,,22,core-libs,,0,,,,,,,,,,,,,,,,,,,,"There are cases of redundant type arguments in java.util.stream package, they can be removed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i339jv:",9223372036854775807,master,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@c356540,,,,,,,,,"2023-09-26 23:17;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/15936
Date: 2023-09-27 00:58:01 +0000;;;","2023-09-29 08:37;dukebot;Changeset: fa0697a6
Author:    Mourad Abbay <mourad.abbay@oracle.com>
Committer: Paul Sandoz <psandoz@openjdk.org>
Date:      2023-09-29 15:36:16 +0000
URL:       https://git.openjdk.org/jdk/commit/fa0697a6371a89f19af3f88136886b0b2fbe4817
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
ListFormat creation is unsuccessful for some of the supported Locales ,JDK-8316974,5111112,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,naoto,kganapureddy,kganapureddy,2023-09-26 10:17,2023-09-28 09:09,2023-10-01 09:55,2023-09-28 09:07,22,,,,,,,22,core-libs,,0,conformance,,,,,,,,,,,,,,,,,,,"As part of conformance test development for https://bugs.openjdk.org/browse/JDK-8295240 
Observed that, creating ListFormat throws IllegalArgumentException for some of the Locales obtained from ListFormat:: getAvailableLocales().

Expected that, creation of ListFormat (ListFormat.getInstance(locale, ListFormat.Type, ListFormat.Style)) shall be successful for all the Locale’s obtained from getAvailableLocales().

The sample code snippet is attached.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8295240,,,,,,,"2023-09-26 10:20;kganapureddy;ListFormat_GetInstance.java;https://bugs.openjdk.org/secure/attachment/106593/ListFormat_GetInstance.java",,,,,,,,,,,,,,,,,,,,,,"0|i339e3:",9223372036854775807,master,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6fc9e792,,,,,,,,,"2023-09-26 14:54;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/15935
Date: 2023-09-26 21:49:11 +0000;;;","2023-09-28 09:07;dukebot;Changeset: 3481a485
Author:    Naoto Sato <naoto@openjdk.org>
Date:      2023-09-28 16:04:46 +0000
URL:       https://git.openjdk.org/jdk/commit/3481a485716a1949706a4dcb94181b07e88e804d
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
jtreg failure handler pages are mislabelling the jcmd/thread/dump_to_file results.,JDK-8316946,5111085,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,jpai,kevinw,kevinw,2023-09-26 04:12,2023-09-27 22:45,2023-10-01 09:55,2023-09-27 22:45,,,,,,,,22,infrastructure,,0,noreg-other,,,,,,,,,,,,,,,,,,,"jtreg failure handler pages are labelling jcmd/thread/dump_to_file results with the wrong PID.  The right files are actually there if you manually change the link.

e.g.
11904
  common
    jcmd
      thread
        dump_to_file

iteration_0
----------------------------------------
[...] [...\windows-x64-debug.jdk\jdk-22\fastdebug\bin\jcmd.exe, 11904, Thread.dump_to_file, -format=json, JavaThread.dump.11904.0] timeout=20000
----------------------------------------
11904:
Created .....\testoutput\test-support\jtreg_open_test_jdk_jdk_jdi\scratch\4\JavaThread.dump.11904.0
----------------------------------------
[...] exit code: 0 time: 583 ms
----------------------------------------
JavaThread.dump.11888.5


If we expand pid 11904, it says it's creating JavaThread.dump.11904.0 (which it does!), but always links to JavaThread.dump.11888.5

11888 was an earlier Java process which had artifacts gathered.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8308475,,,,,,,,,,,,,,,,,,,,,,,,,"0|i33983:",9223372036854775807,master,,,,,,,,,,,"2023-09-27 00:19;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/15939
Date: 2023-09-27 07:11:59 +0000;;;","2023-09-27 22:45;dukebot;Changeset: 42924ed4
Author:    Jaikiran Pai <jpai@openjdk.org>
Date:      2023-09-28 05:42:26 +0000
URL:       https://git.openjdk.org/jdk/commit/42924ed4e59a9f93e165047bd91f829ba1e86c78
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
