Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Crash in dominance check when compiling unnamed patterns,JDK-8312163,5105594,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,abimpoudis,abimpoudis,abimpoudis,2023-07-17 02:23,2023-07-25 05:13,2023-10-01 09:55,2023-07-19 00:39,,,,,,,21,tools,,0,,,,,,,,,,,,,,,,,,"public class Bug {
    sealed interface A permits B {}
    record B() implements A {}

    record Rec(A a, A b) {}

    public void test(Rec r)
    {
        switch (r) {
            case Rec(_, B()): break;
            case Rec(_, _):
        }
    }
}

produces:

An exception has occurred in the compiler (22-internal). Please file a bug against the Java compiler via the Java bug reporting page (https://bugreport.java.com) after checking the Bug Database (https://bugs.java.com) for duplicates. Include your program, the following diagnostic, and the parameters passed to the Java compiler in your report. Thank you.
java.lang.AssertionError: Unknown pattern: ANYPATTERN
	at jdk.compiler/com.sun.tools.javac.util.Assert.error(Assert.java:162)
	at jdk.compiler/com.sun.tools.javac.comp.Check.patternDominated(Check.java:4759)
	at jdk.compiler/com.sun.tools.javac.comp.Check.patternDominated(Check.java:4748)
	at jdk.compiler/com.sun.tools.javac.comp.Check.checkSwitchCaseLabelDominated(Check.java:4703)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.handleSwitch(Attr.java:1854)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.visitSwitch(Attr.java:1605)
	at jdk.compiler/com.sun.tools.javac.tree.JCTree$JCSwitch.accept(JCTree.java:1299)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribTree(Attr.java:662)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribStat(Attr.java:736)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribStats(Attr.java:755)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.visitBlock(Attr.java:1439)
	at jdk.compiler/com.sun.tools.javac.tree.JCTree$JCBlock.accept(JCTree.java:1092)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribTree(Attr.java:662)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribStat(Attr.java:736)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.visitMethodDef(Attr.java:1229)
	at jdk.compiler/com.sun.tools.javac.tree.JCTree$JCMethodDecl.accept(JCTree.java:916)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribTree(Attr.java:662)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribStat(Attr.java:736)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribClassBody(Attr.java:5648)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribClass(Attr.java:5536)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attribClass(Attr.java:5360)
	at jdk.compiler/com.sun.tools.javac.comp.Attr.attrib(Attr.java:5299)
	at jdk.compiler/com.sun.tools.javac.main.JavaCompiler.attribute(JavaCompiler.java:1365)
	at jdk.compiler/com.sun.tools.javac.main.JavaCompiler.compile(JavaCompiler.java:978)
	at jdk.compiler/com.sun.tools.javac.main.Main.compile(Main.java:319)
	at jdk.compiler/com.sun.tools.javac.main.Main.compile(Main.java:178)
	at jdk.compiler/com.sun.tools.javac.Main.compile(Main.java:66)
	at jdk.compiler/com.sun.tools.javac.Main.main(Main.java:52)
printing javac parameters to: /Users/bibou/dev/jdk/build/macosx-aarch64-server-release/JTwork/scratch/javac.20230717_112156.args
result: Error. compiler crashed (exit code 4)",,,,,,,,,,,JDK-8312230,JDK-8312954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32bgb:",9223372036854775807,b32,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4dca67bd,,,,,,,,,"2023-07-17 15:03;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14912
Date: 2023-07-17 21:57:07 +0000;;;","2023-07-18 05:12;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk21/pull/134
Date: 2023-07-18 12:07:18 +0000;;;","2023-07-19 00:39;dukebot;Changeset: 48760d7a
Author:    Aggelos Biboudis <abimpoudis@openjdk.org>
Committer: Jan Lahoda <jlahoda@openjdk.org>
Date:      2023-07-19 07:37:21 +0000
URL:       https://git.openjdk.org/jdk21/commit/48760d7a044560dea6eeaca675ed27b5096cadd8
;;;",,,,,,,,,,,,,,,,,,,,
Renderperf test: Framework throws exception for some tests with large object count,JDK-8312149,5105579,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,kpk,kpk,kpk,2023-07-16 23:47,2023-09-20 02:22,2023-10-01 09:55,2023-09-14 23:47,internal,,,,,,internal,javafx,,0,noreg-self,sn_152,testbug,,,,,,,,,,,,,,,"RenderPerf test framework throws following exception on running certain tests with higher object count.
java.lang.reflect.InvocationTargetException
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:119)
	at java.base/java.lang.reflect.Method.invoke(Method.java:578)
	at renderperf.RenderPerfTest.main(RenderPerfTest.java:1192)
Caused by: java.lang.RuntimeException: Timeout waiting for test execution completion.
	at renderperf.RenderPerfTest$PerfMeter.exec(RenderPerfTest.java:972)
	at renderperf.RenderPerfTest.testButton(RenderPerfTest.java:1096)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:104)

This exception can be observed with LargeText and LargeColorText tests with object count more than 10000 in metal pipeline and 30000 in OpenGL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generic,,,,,,,,,,generic,,,,,"0|i32bcz:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4143e3f7,,,,,,,,,"2023-09-14 23:47;kpk;Made changes to handle the exception and show error message.;;;","2023-09-14 23:47;kpk;Changeset: d5c30410
Author:    Karthik P K <kpk@openjdk.org>
Date:      2023-09-15 12:10:58 +0000
URL:       https://git.openjdk.org/jfx-sandbox/commit/d5c30410a988ced52b67c123c568e2f23cb4da4f;;;",,,,,,,,,,,,,,,,,,,,,
jcmd VM.metaspace vslist has no newline character before the Class: label.,JDK-8312138,5105568,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,phh,kyukihiro,kyukihiro,2023-07-16 22:41,2023-08-02 04:07,2023-10-01 09:55,2023-07-18 06:12,11,,,,,,11.0.21,hotspot,,0,jdk11u-fix-request,jdk11u-fix-yes,,,,,,,,,,,,,,,,"jcmd VM.metaspace vslist prints :

Virtual space lists:
   Non-Class:
1 nodes, current node: 0x00007ff78009a360

node @0x00007ff78009a360: reserved=8.00 MB, committed=4.25 MB ( 53%), used=4.19 MB ( 52%)
   [0x00007ff760990000, 0x00007ff760dc0000, 0x00007ff760dd0000, 0x00007ff761190000)       Class:
1 nodes, current node: 0x00007ff78009a160

node @0x00007ff78009a160: reserved=1.00 GB, committed=512.00 KB ( <1%), used=398.00 KB ( <1%)
   [0x0000000100000000, 0x0000000100063800, 0x0000000100080000, 0x0000000140000000)

There is no newline charaster before the ""Class:"" label.
The logs are not easy to read and users can misread the useful logs.
","Intel(R) Xeon(R) Platinum 8358P CPU 2.60GHz, 4 core, 8GB Memory
Red Hat Enterprise Linux release 8.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generic,,,,,,,,,,generic,,,,,"0|i32baj:",9223372036854775807,b01,,,,,,,,,,,"2023-07-16 23:04;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk11u-dev/pull/2043
Date: 2023-07-17 05:58:45 +0000;;;","2023-07-17 22:56;kyukihiro;Fix Request 11u
I would like to fix this issue because the logs are not easy to read and users can misread the useful logs.
There is no risk, because the fix is just adding a newline character and it's not complicated.
Testing:
  hotspot_all, a specific test to confirm the fix.;;;","2023-07-18 06:12;dukebot;Changeset: f8d6c54b
Author:    Kimura Yukihiro <kimura.yukihiro@jp.fujitsu.com>
Committer: Paul Hohensee <phh@openjdk.org>
Date:      2023-07-18 13:09:48 +0000
URL:       https://git.openjdk.org/jdk11u-dev/commit/f8d6c54babc6af846607b6e8fe826de7e8c387d3
;;;","2023-08-02 04:07;dukebot;Changeset: f8d6c54b
Author:    Kimura Yukihiro <kimura.yukihiro@jp.fujitsu.com>
Committer: Paul Hohensee <phh@openjdk.org>
Date:      2023-07-18 13:09:48 +0000
URL:       https://git.openjdk.org/jdk11u/commit/f8d6c54babc6af846607b6e8fe826de7e8c387d3
;;;",,,,,,,,,,,,,,,,,,,
FileDescriptor.sync should temporarily increase parallelism,JDK-8312127,5105545,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,alanb,alanb,alanb,2023-07-15 06:52,2023-08-15 00:02,2023-10-01 09:55,2023-07-17 22:16,21,22,,,,,22,core-libs,,0,amazon-interest,jdk21u-fix-request,jdk21u-fix-SQE-ok,jdk21u-fix-yes,,,,,,,,,,,,,,If FileDescriptor.sync is called from a virtual thread then it will capture the carrier for the duration of the fsync/equivalent. It should temporarily bump up parallelism as is done with other file ops.,,,,,,,,,,,JDK-8314254,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8314120,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32b5f:",9223372036854775807,b07,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@5f132e58,,,,,,,,,"2023-07-17 08:09;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14893
Date: 2023-07-15 13:54:46 +0000;;;","2023-07-17 22:16;dukebot;Changeset: fbe51e38
Author:    Alan Bateman <alanb@openjdk.org>
Date:      2023-07-18 05:13:14 +0000
URL:       https://git.openjdk.org/jdk/commit/fbe51e388d8a7475f162f10aa788a6d37ec4c6d8
;;;","2023-08-10 09:12;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk21u/pull/52
Date: 2023-08-10 16:06:10 +0000;;;","2023-08-11 00:54;shade;Fix Request (21u)

Improves virtual thread performance around FD.sync calls. Important for Loom adoption. Applies cleanly.;;;",,,,,,,,,,,,,,,,,,,
NullPointerException in CertStore.getCRLs after 8297955,JDK-8312126,5105540,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,mullan,mbalao,mbalao,2023-07-15 00:59,2023-09-20 22:22,2023-10-01 09:55,2023-09-15 06:14,11.0.21,17.0.8,21,,,,22,security-libs,,0,amazon-interest,regression,,,,,,,,,,,,,,,,"After 8297955 a CRL selector whose IssuerNames contains the value ""null"" (invalid) makes CertStore.getCRLs to throw a NullPointerException. Previous to 8297955, this same selector threw a CertStoreException when passed to CertStore.getCRLs.

A CertStoreException looks more aligned to the CertStore.getCRLs API documentation: ""@throws CertStoreException if an exception occurs"".

The underlying reason is that after 8297955 the LDAPRequest constructor passes the received ""name"" to the LdapName constructor. The LdapName constructor expects this value to be non-null. Thus, it does not throw an InvalidNameException —which the LDAPRequest constructor would have turned into a CertStoreException— and tries to get the length of the name, which ends in a NullPointerException. The LDAPRequest constructor does not handle the NullPointerException so it bubbles up to the caller.

Before 8297955, the LDAPRequest constructor called ""checkName"" which, in the event of a null name, explicitly threw a CertStoreException.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8297955,,,,,,,,,,,,,,,generic,,,,,,,,,,generic,,,,,"0|i32b4b:",9223372036854775807,b16,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@2ec284e3,,,,,,,,,"2023-07-17 07:21;mullan;[~mbalao] I looked into this more and I don't think it is a bug, at least not in the way it is described. The JDK LDAPCertStore implementation never passes null to LDAPRequest(String). If the selector contains a null issuerNames field, it will throw a CertStoreException prior to calling LDAPRequest(String):

https://github.com/openjdk/jdk/blob/3fb9d117e353af6f007e701a8cd635763bd3cc28/src/java.naming/share/classes/sun/security/provider/certpath/ldap/LDAPCertStoreImpl.java#L767

Let me know if I missed a code path that you are seeing where the name could be null.;;;","2023-07-19 22:32;mbalao;Hi Sean,

Thanks for having a look at this.

This is the call stack that I saw in our internal test:

java.lang.NullPointerException: Cannot invoke ""String.length()"" because ""name"" is null
	at java.naming/javax.naming.ldap.Rfc2253Parser.<init>(Rfc2253Parser.java:48)
	at java.naming/javax.naming.ldap.LdapName.parse(LdapName.java:806)
	at java.naming/javax.naming.ldap.LdapName.<init>(LdapName.java:125)
	at java.naming/sun.security.provider.certpath.ldap.LDAPCertStoreImpl$LDAPRequest.<init>(LDAPCertStoreImpl.java:231)
	at java.naming/sun.security.provider.certpath.ldap.LDAPCertStoreImpl.getCRLs(LDAPCertStoreImpl.java:788)
	at java.naming/sun.security.provider.certpath.ldap.LDAPCertStore.engineGetCRLs(LDAPCertStore.java:293)

While our test invokes an internal API directly (and I omitted that part of the call stack), I think that the missing bit for a public API invocation is java.security.cert.CertStore::getCRLs because this function invokes engineGetCRLs on a CertStoreSpi, and LDAPCertStore is a CertStoreSpi.

Looking at the code that you pointed out and trying to explain the difference in observed behavior, I wonder if it's possible that issuerNames has a non-null value but issuerName obtained either here [1] or here [2] can have a null one.

--
[1] - https://github.com/openjdk/jdk/blob/3fb9d117e353af6f007e701a8cd635763bd3cc28/src/java.naming/share/classes/sun/security/provider/certpath/ldap/LDAPCertStoreImpl.java#L778
[2] - https://github.com/openjdk/jdk/blob/3fb9d117e353af6f007e701a8cd635763bd3cc28/src/java.naming/share/classes/sun/security/provider/certpath/ldap/LDAPCertStoreImpl.java#L783;;;","2023-07-21 12:08;mullan;[~mbalao] Ok, I see the distinction and how you can call the getCRLs() of an LDAP CertStore to avoid the code paths I mentioned earlier. 

For the first case, X500Principal.getName should never return null - if it does I think it is a bug. 

For the second case, I guess you are passing a Collection that has a null element to X509CRLSelector.setIssuerNames?

IMO, a better fix is for the code here to do an ""instanceof String"" check before casting it to String and if that is false, ignore it instead of passing it to LDAPRequest: 

https://github.com/openjdk/jdk/blob/3fb9d117e353af6f007e701a8cd635763bd3cc28/src/java.naming/share/classes/sun/security/provider/certpath/ldap/LDAPCertStoreImpl.java#L783
;;;","2023-09-14 08:06;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/15745
Date: 2023-09-14 14:59:07 +0000;;;","2023-09-15 06:06;mullan;A null issuerName would normally be rejected earlier by X509CRLSelector.setIssuerNames. However, X509CRLSelector is not final, so it is still important for the LDAPCertStore to be coded defensively and check for nulls to protect against X509CRLSelector subclasses that might skip this check.;;;","2023-09-15 06:14;dukebot;Changeset: 3c743cfe
Author:    Sean Mullan <mullan@openjdk.org>
Date:      2023-09-15 13:12:15 +0000
URL:       https://git.openjdk.org/jdk/commit/3c743cfea00692d0b938cb1cbde936084eecf369
;;;",,,,,,,,,,,,,,,,,
[Lilliput/JDK17] Reinstate use of BiasedLockingCounters,JDK-8312095,5105498,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,rkennke,rkennke,rkennke,2023-07-14 05:06,2023-07-14 10:04,2023-10-01 09:55,2023-07-14 10:04,repo-lilliput-17,,,,,,repo-lilliput-17,hotspot,,0,lilliput,,,,,,,,,,,,,,,,,In x86_64.ad we accidentally dropped _counters to NULL in a fast_lock() call. This means we're not counting BiasedLocking calls correctly. Let's fix that. It is only relevant in 17 because biased locking has been removed in later release.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x86_64,,,,,,,,,,generic,,,,,"0|i32auz:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6a4709f4,,,,,,,,,"2023-07-14 05:14;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/lilliput-jdk17u/pull/52
Date: 2023-07-14 12:08:54 +0000;;;",,,,,,,,,,,,,,,,,,,,,,
Incorrect javadoc comment text,JDK-8312093,5105496,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,jlahoda,jlahoda,jlahoda,2023-07-14 04:54,2023-07-25 04:44,2023-10-01 09:55,2023-07-16 23:46,21,,,,,,22,tools,,0,hgupdate-sync,,,,,,,,,,,,,,,,,"Consider code like:
```
public class Test {
    /***/
    void main() {
    }
}
```

When looking at the javadoc comment ('/***/`) through Trees.getDocComment, '/' is returned, which then gets passed to the DocCommentTree and creates confusions with positions.
",,,,,,,,,,,JDK-8312094,JDK-8312923,,,,,,,,,,,,,,,,,,,,,,JDK-8305100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32auj:",9223372036854775807,b07,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4dca67bd,,,,,,,,,"2023-07-14 08:06;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14890
Date: 2023-07-14 15:00:37 +0000;;;","2023-07-16 23:46;dukebot;Changeset: 1c9691b1
Author:    Jan Lahoda <jlahoda@openjdk.org>
Date:      2023-07-17 06:43:16 +0000
URL:       https://git.openjdk.org/jdk/commit/1c9691b1f762812aa090b88507d60a2e2e5f4933
;;;","2023-07-17 02:45;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk21/pull/132
Date: 2023-07-17 09:38:46 +0000;;;",,,,,,,,,,,,,,,,,,,,
Assertion in Ensemble8->3D Cubes demo when metal API validation is enabled,JDK-8312083,5105485,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,jdv,aghaisas,aghaisas,2023-07-14 02:51,2023-07-17 09:42,2023-10-01 09:55,2023-07-16 21:55,internal,,,,,,internal,javafx,,0,3d,javafx-metal,sn_148,,,,,,,,,,,,,,,"Enable Metal API validation and metal shader validation on terminal:
export METAL_DEVICE_WRAPPER_TYPE=1
export MTL_SHADER_VALIDATION=1 

Launch Ensemble8 app using metal rendering pipeline.

Select -
3D Cubes or 3D Box demo.

It results in an assertion:

 Metal API Validation Enabled
-[MTLDebugBlitCommandEncoder generateMipmapsForTexture:]:1115: failed assertion `Generate Mipmaps For Texture Validation
[tex mipmapLevelCount](1) must be > 1.
'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8271024,,,,,,,,,,,,,,,generic,,,,,,,,,,os_x,,,,,"0|i32as3:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4143e3f7,,,,,,,,,"2023-07-16 20:48;jdv;I am able to reproduce this assertion in M1 machine also.
We are creating a dummy 1x1 diffuse map when we have only diffuse color in the material, looks like we are generating mipmaps for this 1x1 texture also and it is causing this assertion.;;;","2023-07-16 21:55;jdv;Changeset: 47ea3134
Author:    Jayathirth Rao D V <jayathirth.d.v@oracle.com>
Committer: Ambarish Rapte <arapte@openjdk.org>
Date:      2023-07-17 10:17:02 +0000
URL:       https://git.openjdk.org/jfx-sandbox/commit/47ea3134f80b726667ef2e9929778d3ce9d5ae75;;;",,,,,,,,,,,,,,,,,,,,,
12.1.4: Typo in non-normative text explaining candidate main methods,JDK-8312082,5105484,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,gbierman,gbierman,gbierman,2023-07-14 02:28,2023-07-25 04:53,2023-10-01 09:55,2023-07-14 11:54,,,,,,,22,specification,,0,hgupdate-sync,noreg-doc,,,,,,,,,,,,,,,,"In 12.1.4 there is non-normative text explaining how this preview feature increases the number of methods that are considered a *candidate* for execution. It correctly observes there are 12 basic forms:

1-3: {public, protected, package} void main()
4-6: {public, protected, package} void main(String[])
7-9: {public, protected, package} static void main()
10-12: {public, protected, package} static void main(String[])

It then *erroneously* claims that supporting `String...` as an alternative for `String[]` doubles this number to 24. It doesn't; it increases the number by 6 to 18.",,,,,,,,,,,JDK-8312244,JDK-8312943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32arv:",9223372036854775807,b07,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@7441ef8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[PPC] JcmdScale.java Failing on AIX,JDK-8312078,5105481,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,dkumari,dkumari,dkumari,2023-07-14 01:22,2023-08-10 06:06,2023-10-01 09:55,2023-08-02 07:40,22,,,,,,22,hotspot,,0,nmt,,,,,,,,,,,,,,,,,"runtime/NMT/JcmdScale.java failed with: java.lang.RuntimeException: 'Incorrect scale value: (null)' missing from stdout/stderr on AIX

----------System.err:(18/876)----------
 stdout: [14024992:
Incorrect scale value:
];
 stderr: []
 exitValue = 0

java.lang.RuntimeException: 'Incorrect scale value: (null)' missing from stdout/stderr

        at jdk.test.lib.process.OutputAnalyzer.shouldContain(OutputAnalyzer.java:221)
        at JcmdScale.main(JcmdScale.java:83)
        at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
        at java.base/java.lang.reflect.Method.invoke(Method.java:580)
        at com.sun.javatest.regtest.agent.MainWrapper$MainThread.run(MainWrapper.java:125)
        at java.base/java.lang.Thread.run(Thread.java:1570)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ppc,,,,,,,,,,aix,,,,,"0|i32ar7:",9223372036854775807,b09,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@762b8a4b,,,,,,,,,"2023-07-19 02:53;amitkumar;Does it make sense to update title as “[PPC]Testname failing on AIX” , and the log which is present in current title could be moved to the description section?;;;","2023-07-24 02:25;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14935
Date: 2023-07-19 13:41:38 +0000;;;","2023-08-02 07:40;dukebot;Changeset: c1a3f143
Author:    Deepa Kumari <dpakri181@gmail.com>
Committer: Tyler Steele <tsteele@openjdk.org>
Date:      2023-08-02 14:39:33 +0000
URL:       https://git.openjdk.org/jdk/commit/c1a3f143bf881dac6d6e517293c79a68129c6f5a
;;;",,,,,,,,,,,,,,,,,,,,
